FMID,MarketName,street,city,County,State,zip,Longitude,Latitude,Location
1010994,2nd Street Farmers Market,194 Second Street,Amherst,Amherst,Virginia,24521,-79.048573,37.583311,
1009959,2nd Street Market - Five Rivers Metropark,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,-84.18103,39.762593,
1004950,3 French Hens French Country Market,123 W. Illinois Ave.,Morris,Grundy,Illinois,60450,-88.425186,41.356383,Other
1010775,30a Farmers Market,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,-86.00275400000001,30.279017,
1012342,31 And Main Farmers Market At Campus Town,1928 Pennington Road,Ewing,Mercer,New Jersey,8618,-74.783264,40.267025,
1005636,32nd Street/waverly Farmers Market,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,-76.611,39.3272,Closed-off public street
1005310,33rd And Diamond Farmers Market,N 33rd And Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,-75.187167,39.988802,
1012784,38th And Meridian Farmers Market,3808 N Meridian St,Indianapolis,Marion,Indiana,46208,-86.158459,39.825071,
1012280,39 North Marketplace,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,-119.754962,39.534773,
1004414,3rd And Curry St. Farmers Market,3rd & Curry Street,Carson City,Carson City,Nevada,89703,-119.7678,39.16257,Local government building grounds
1011213,441 Ministries Farm Stand,441 Parsells Avenue,Rochester,Monroe,New York,14609,-77.5666043,43.1658344,
1010965,4th And Lehigh Farmers Market,N 4th Street And W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,-75.138654,39.991748,
1006234,4th Street Farmers Market,315 East 4th St.,Larimer,,Colorado,80537,-105.073,40.3954,
1006494,52 And Shadeland Avenue Farmers Market,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,-86.0476,39.8481,
1005304,52nd And Haverford Farmers Market,N 52nd Street And Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,-75.224492,39.965053999999995,
1000060,57th Street Greenmarket,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.985839,40.768159000000004,Other
1005306,58th And Chester Farmers Market,58th Street And Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,-75.228303,39.935721,
1011895,61st Street Farmers Market,6100 S Blackstone Ave,Chicago,Cook,Illinois,60637,-87.59059029999999,41.7841364,
1010386,6th Ave Farmers Market,6th And Pine,Tacoma,Pierce,Washington,98406,-122.4736263,47.255403,Closed-off public street
1012500,6th Street Market In Downtown Tempe,6th Street And Mill Avenue,Tempe,Maricopa,Arizona,85281,-111.93951200000001,33.42442,
1000061,79th Street Greenmarket,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.7818,Other
1000062,82nd Street Greenmarket,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.95009,40.773749,Other
1008391,84 West Farmers Market (dothan),,Dothan,Houston,Alabama,36305,-85.44994399999999,31.232252000000003,
1001961,8th Avenue City Farmers Market,8th Ave & 2nd St Se,Cedar Rapids,Linn,Iowa,52401,-91.66265340000001,41.972837,Local government building grounds
1000063,92nd Street Greenmarket,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.946421,40.780931,Other
1000064,97th Street Greenmarket,W 97 St. & Columbus,New York,New York,New York,10025,-73.967012,40.79356,Other
1011989,9th And Grand Farmers Market,304 West Grand Avenue,Salina,Saline,Kansas,67401,-97.6117504,38.8528359,
1000986,9th West Farmers Market/peoples Market,1060 South 900 West,Salt Lake City,Salt Lake,Utah,84110,-111.9195223,40.7470177,
1010617,A + Organic Farmers Market,Lee Rd. Farm,Boynton Beach,Palm Beach,Florida,33473,-80.221052,26.489351,
1001683,A Better Choice Bakery And Market,27 W Potomac Street,Brunswick,Frederick,Maryland,21716,-77.6277075,39.313066,Co-located with wholesale market facility
1009004,A Growers Market,229 Lake Ella Drive,Tallahassee,Leon,Florida,32303,-84.2792304,30.462471299999997,Other
1001887,Aaffa Community Farmers Market,402 North Murray Avenue,Anderson,Anderson,South Carolina,29624,-82.652159,34.506706,Local government building grounds
1007585,Aamc Farmerss Market,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,-76.6123,39.006,
1004573,Abbeville Farmers Market,118 Trinity Street At Livery Stable,Abbeville,Abbeville,South Carolina,29620,-82.38024200000001,34.177429,Local government building grounds
1009028,Abbeville Farmers Market,Kirkland Street,Abbeville,Henry,Alabama,36310,-85.250365,31.571271000000003,
1004598,Abbotsford Farmers Market,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,-90.30714499999999,44.945665000000005,Private business parking lot
1003865,Abbott Northwestern Farmers Market,800 E 28th St,Minneapolis,Hennepin,Minnesota,55404,-93.2629,44.9556,
1002947,Aberdeen Farmers Market,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401,-98.4866,45.4631,
1004031,Abilene Farmers Market,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410,-97.2139,38.9153,
1010487,Abingdon Farmers Market,Corner Of Remsburg Drive & Cummings St,Abingdon,Washington,Virginia,24210,-81.977094,36.708934,
1000065,Abingdon Square Greenmarket,W12 St. & 8th Ave,New York,New York,New York,10014,-74.00528,40.737177,Other
1006988,Abington,362 Plymouth Street,Abington,Plymouth,Massachusetts,2351,-70.9369,42.119,Local government building grounds
1007070,Abington Farmers Market,12055 Rose Drove,Clarks Summit,Lackawanna,Pennsylvania,18411,-75.7746,41.425,
1011313,Abita Springs Farmers Market,22049 Main St.,Abita Springs,St. Tammany,Louisiana,70420,-90.03891290000001,30.4793215,
1004762,Abq Uptown Growers Market,Ne Parking Lot Of Abq Uptown Shopping Center,Albququerque,Bernalillo,New Mexico,87110,-106.56583799999999,35.103988,Other
1009543,Abv Farm Market,690 Allegheny Road,Mount Bethe,,Pennsylvania,18343,-75.0998,40.8743,
1002108,Acadia Farmers Market In Town Hill,,Town Hill,Hancock,Maine,4438,-68.9716,44.5908,
1007575,Acadiana Farmers Market,801 Foreman Drive,Opelousas,Lafayette,Louisiana,70570,-92.0634,30.2147,
1005122,Ace Farmers Market,115 Black River Blvd,Rome,Oneida,New York,13440,-75.4541,43.2098,
1008461,Acme Ranch Truck Patch,Rr1 Box 146,Birch Tree,Shannon,Missouri,65438,-91.492638,36.991165,"On a farm from: a barn, a greenhouse, a tent, a stand, etc"
1011180,Acreage Green Market,6701 140th Ave. North,Loxahatchee,Palm Beach,Florida,33470,-80.263351,26.775639,
1003469,Acton-boxborough Farmers Market,1 Pearl St,Acton,Middlesex,Massachusetts,1720,-71.47415,42.47518,Closed-off public street
1003112,Acushnet Farmers Market,186 Leonard Street,Acushnet,Bristol,Massachusetts,2743,-70.900663,41.720546999999996,
1007519,Acworth Farmers Market,Main And Lemon Streets,Acworth,Cobb,Georgia,30101,-84.6767,34.0657,
1001393,Ada Farmers Market,12th Street And Townsend,Ada,Pontotoc,Oklahoma,74820,-96.679869,34.773589,Private business parking lot
1001083,Ada Farmers Market,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301,-85.4889683,42.955371500000005,
1006969,Adairco Farmers Market,"409 Fairground Street, Adair County Co-op Ext Service Parking Lot",Columbia,Adair County,Kentucky,42728,-85.29700000000001,37.1043,
1010467,Adairsville Farmers Market,7446 Ga 140,Adairsville,Bartow,Georgia,30103,-84.929569,34.375727000000005,Private business parking lot
1011322,Adams County Farmers Market Association (pa),Lincoln Square,Gettysburg,Adams,Pennsylvania,17325,-77.23076400000001,39.830706,
1011328,Adams County Farmers Market Association (pa),1863 Gettysburg Village Dr,Gettysburg,Adams,Pennsylvania,17325,-77.201576,39.794081,
1010354,Adams Farmers And Artisans Market,Adams Visitors Center 3 Hoosac St,Adams,Berkshire,Massachusetts,1220,-73.118003,42.6244919,Private business parking lot
1008006,Adams Morgan Farmers Market,18th St. And Columbia Rd. Nw,Washington,District of Columbia,District of Columbia,20009,-77.042643,38.922637,
1008961,Adaptations Fresh Feast,79-7500 Mamalahoa Highway,Kealakekua,Hawaii,Hawaii,96750,-155.923558,19.525757000000002,Co-located with wholesale market facility
1005109,Added Value Farm Stand At Governors Island,Gresham Rd,Brooklyn,Kings,New York,11231-1235,-74.0231,40.6875,
1002464,Addison Farmers Market,One Friendship Plaza,Addison,Dupage,Illinois,60101,-87.9934,41.9321,
1005741,Adel Farmers Market,Courthouse Square,Adel,Dallas,Iowa,50830,-94.0175,41.6144,
1005272,Adelanto Stadium Farmers Market,Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392,-117.405,34.5593,
1012288,Adrian Farmers Market,115 Toledo Street,Adrian,Lenawee,Michigan,49221,-84.034589,41.900169,
1011214,Aenon Baptist Church Farm Stand,175 Genesee Street,Rochester,Monroe,New York,14611,-77.63607640000001,43.1466026,
1008667,Afton Village Farmers Market,5401 Village Dr,Concord,Cabarrus,North Carolina,28027,-80.670172,35.414038,Other
1007586,Agh Wellness Committee Farmers Market,9733 Healthway Drive,Berlin,Worcester,Maryland,21811,-75.2113,38.3388,
1012233,Agricenter International Farmers Market,7777 Walnut Grove Rd,Memphis,Shelby,Tennessee,38120,-89.8037477,35.128865999999995,
1003562,Agritopia Farm Stand,3000 E. Ray Road (higley & Ray),Gilbert,Maricopa,Arizona,85233,-111.726215,33.321658,
1011830,Ahwatukee Farmers Market,4700 E. Warner Rd,Phoenix,Maricopa,Arizona,85044,-111.98324199999999,33.331331,
1000212,Aiken County Farmers Market,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801,-81.7084941,33.55688189999999,Local government building grounds
1008054,Airport Farmers And Flea Market,17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604,-82.441117,28.481140000000003,
1007542,Akebono Farmers’ Market,Akebono Parking Lot,Pahoa,Hawaii County,Hawaii,96778,-154.951,19.4975,
1011967,Akers Of Strawberries,1054 Melton Road,Baker,Okaloosa,Florida,32531,-86.70128129999999,30.7986832,
1001801,Akron Farmers Market,City Park,Akron,Plymouth,Iowa,51031,-96.5573,42.8309,
1005061,Akwesasne Farmers Market,"469 State Route 37, Across From Akwesasne Sports",Hogansburg,Franklin,New York,13655,-74.6677,44.9739,
1004086,Alabama Gulf Coast Market,22250 Perdido Beach Boulevard,Gulf Shores,Baldwin,Alabama,36542,-87.65585,30.250746000000003,
1008612,Alachua County Farmers Market,5920 Nw 13th Street,Gainesville,Alachua,Florida,32653,-82.352515,29.710665000000002,Local government building grounds
1006312,Alamance County Farmers Market,200 S. Main St.,Burlington,Alamance,North Carolina,27215,-79.4357,36.0943,
1009019,Alameda Farmers Market,Haight And Webster St.,Alameda,Alameda,California,94501,-122.276762,37.774248,
1004846,Alamo Farmers Market,Buckhorn Ranch Road,Alamo,Lincoln,Nevada,89001,-115.1435,37.33075,"On a farm from: a barn, a greenhouse, a tent, a stand, etc"
1011033,Alamogordo Farmers Market -downtown,919 New York Avenue,Alamogordo,Otero,New Mexico,88310,-105.95933840000001,32.8994771,
1004789,Alamogordo Otero County Farmers Market,401 Fairgrounds Rd,Alamogordo,Otero,New Mexico,88310,-105.9606,32.92649,Local government building grounds
1004070,Alamosa Farmers Market,Corner Of 6th Street And State Avenue's Municipal Parking Lot,Alamosa,Alamosa,Colorado,81101,-105.86523600000001,37.468359,
1004425,Albany Downtown Farmers Market,Corner Of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702,-84.15366,31.57684,Local government building grounds
1002175,Albany Farmers Market,4th Avenue & Ellsworth Street,Albany,Linn,Oregon,97321,-123.1061,44.6349,
1011108,Albert Lea Farmers Market,104 North Broadway,Albert Lea,Freeborn,Minnesota,56007,-93.368932,43.650895,
1003118,Alberta Farmers Market,1500 Ne Alberta Street,Portland,Multnomah,Oregon,97211,-122.65,45.5591,
1004886,Alberta Farmers Market,21724 Highway 5,Alberta,Wilcox,Alabama,36720,-87.4101,32.2319,
1010559,Albion Farmers Market,211 Market Place,Albion,Cass,Michigan,49224,-84.75156899999999,42.243544,
1010407,Albuquerque Downtown Growers Market,800 Central Ave,Albuquerque,Bernalillo,New Mexico,87102,-106.656893,35.085972,Other
1004761,Albuquerque Northeast Farmers Market,6400 Wyoming Blvd,Albuquerque,Bernalillo,New Mexico,87111,-106.55762,35.1506,Educational institution
1007016,Albuquerque Va Growers Market,1501 San Pedro Drive Se,Albuquerque,Bernalillo,New Mexico,87108,-106.57799999999999,35.0553,
1002222,Alcona Farmers Market,320 S. State Steet (us23),Harrisville,Alcona,Michigan,48740,-83.2973,44.6547,Federal/State government building grounds
1008252,Alderson Farmers Market,Rt. 3 Main Street,Alderson,Greenbrier,West Virginia,24910,-80.64202399999999,37.725953999999994,Private business parking lot
1003236,Aldrich Arena Farmers Market,1850 White Bear Ave.,Maplewood,Ramsey,Minnesota,55109,-93.0877,44.9609,
1011910,Aledo Farmers Market,128 Elm Street,Aledo,Parker,Texas,76008,-97.602554,32.696496,
1010597,Alexander County Farmers Market,280 Nc Hwy 16 South,Taylorsville,Alexander,North Carolina,28681,-81.178122,35.919748,
1000519,Alexandria Bay Farmers Market,Route 12,Alexandria Bay,Jefferson,New York,13607,-75.9157,44.3314,Private business parking lot
1007366,Alexandria Farmers Market,2nd And Broadway,Alexandria,Douglas,Minnesota,56308,-95.376059,45.89074,Other
1011196,Alfred Farmers Market,Bandstand Main Street,Alfred,Allegany,New York,14802,-77.789505,42.253557,
1007217,Algoma Farm Market,Second St. & Clark Street,Algoma,Kewaunee,Wisconsin,54201,-87.4363,44.6077,
1001300,Algonquin Farmers Market,Washington St & S Harrison St.,Algonquin,,Illinois,60102,-88.29299999999999,42.165,
1007528,Alii Garden Market Place,75-6129 Alii Drive,Kailua-kona,,Hawaii,96740,-155.982,19.6144,
1008835,Alisal Certified Farmers Market,632 East Alisal Street,Salinas,Monterey,California,93905,-121.634178,36.673319,
1005548,All Locally Grown Produce,19051 Sw 147 Ave,Homestead,Miami-Dade,Florida,33187,-80.430378,25.50788,
1011735,All Natural And Certified Organic Farmer Market (hope Farm),19833 Morris Rd,Harlingen,Cameron,Texas,78552,-97.704718,26.155226000000003,
1010096,All Saints Farmers Market,1508 S. White Station,Memphis,Shelby,Tennessee,38117,-89.890478,35.090458,"Faith-based institution (e.g., church, mosque, synagogue, temple)"
1000268,All-local Farmers Market,711 Whaley St,Columbia,Richland,South Carolina,29205,-81.0358,33.9847,
1000168,All-local Farmers Market 2,Rosewood Market On Rosewood Drive At Maple Street,Columbia,Richland,South Carolina,29205,-81.0044,33.9874,
1001962,Allamakee Farmers Market,705 Allamakee Street,Waukon,Allamakee,Iowa,52172,-91.475223,43.276278999999995,
1002717,Allegan Farmers Market,Water Street & Cutler Street,Allegan,Allegan,Michigan,49010,-85.84965799999999,42.529649,
1008262,Alleghany Farmers Market,Hwy 18 N,Sparta,Alleghany,North Carolina,28675,-81.12259300000001,36.503003,Local government building grounds
1002836,Allen County Farmers Market,4-20 S. Washington St.,Iola,Allen,Kansas,66749,-95.4055011,37.922165,Closed-off public street
1011777,Allen Farmers Market,1629 E Kalamazoo,Lansing,Ingham,Michigan,48912,-84.5263803,42.73023870000001,
1007413,Allendale County Farmers Market,Corner Of Bay Street & Us Highway 301,Allendale,Allendale,South Carolina,29810,-81.3191,33.0044,
1007716,Allentown Farigrounds Farmers Market,1825 Chew Street,Allentown,Lehigh,Pennsylvania,18104,-75.4942,40.6008,
1007083,Allentown Turnpike Plaza Farmers Market,Route 9,Allentown,Lehigh,Pennsylvania,18104,-79.7254,40.6218,
1002964,Alliance Farmers Market,3rd & Box Butte Ave.,Alliance,Box Butte,Nebraska,69301,-102.87100000000001,42.0971,
1005675,Alliance Farmers Market,Corner Of E. Main St. And Mechanic Ave.,Alliance,Stark,Ohio,44601,-81.1024,40.9216,Other
1006739,Alliance For The Arts Greenmarket,10091 Mcgregor Boulevard,Ft. Myers,Lee,Florida,33919,-81.89128000000001,26.595209999999998,Educational institution
1002683,Allston Farmers Market,175 North Harvard Street,Allston,Middlesex,Massachusetts,2134,-71.1299,42.3629,Educational institution
1005134,Allston Village Farmers Market,500 Cambridge St.,Boston,Suffolk,Massachusetts,2134,-71.13784179999999,42.353384000000005,Educational institution
1006816,Alma Farmers Market,"City Auditorium On Main Street, Downtown",Alma,Harlan,Nebraska,68920,-99.3625,40.1008,
1002250,Alma Farmers Market,Pine & Downie Streets,Alma,Gratiot,Michigan,48801,-84.656984,43.380269899999995,Local government building grounds
1007836,Almont Farmers Market,Van Dyke At School Street (northwest Corner),Almont,Lapeer County,Michigan,48003,-83.0475,42.9216,
1012389,Aloha Community Farmers Market,17675 Sw Farmington Rd And Sw Kinnaman Rd,Aloha,Washington,Oregon,97007,-122.860524,45.482127,
1010476,Alpena Farmers Market,208 N 1st Ave.,Alpena,Alpena,Michigan,49707,-83.430998,45.061878,Local government building grounds
1005447,Alpha Nursery Farmers Market,"12 Alpha Lane,",Cascade,Valley,Idaho,83611,-115.99799999999999,44.4251,Private business parking lot
1009792,Alsip Farmers Market,12521 S. Kostner Avenue,Alsip,Cook,Illinois,60803,-87.727804,41.664913,Local government building grounds
1009998,Altadena Farmers Market,600 W. Palm Street,Altadena,Los Angeles,California,91001,-118.1581301,34.200378799999996,Local government building grounds
1004383,Altamont Farmers Market,Main Street & Maple Avenue,Altamont,Albany,New York,12009,-74.0325,42.7013,Private business parking lot
1000357,Altavista Farmers Market,Trade Lot,Altavista,Campbell,Virginia,24517,-79.2838,37.1185,
1006749,Alton Farmers And Artisans Market,551 Landmarks Blvd.,Alton,Madison,Illinois,62002,-90.1780932,38.8887926,Local government building grounds
1004154,Altoona Farmers Market,Heritage Plaza,Altoona,Blair,Pennsylvania,16601,-78.2462,40.6787,
1001100,Altus Farmers Market,1116 North Main St,Altus,Jackson,Oklahoma,73521,-99.3336,34.6491,Private business parking lot
1011421,Alum Rock Village Farmers Market,57 North White Road,San Jose,Santa Clara,California,95127,-121.83328799999998,37.36777,
1001733,Alva Farmers Market,102 North 2d,Alva,Woods,Oklahoma,73717,-98.6602,36.8083,
1005644,Amador Farmers Market-- Jackson,Jackson Library/ True Value,Jackson,Amador,California,95642,-120.7741018,38.348802299999996,
1005645,Amador Farmers Market-- Pine Grove,Hwy 88 At Irishtown Rd.,Pine Grove,Amador,California,95665,-120.7741018,38.348802299999996,
1005646,Amador Farmers Market-- Sutter Creek,Eureka St. & Highway 49,Sutter Creek,Amador,California,95685,-120.7741018,38.348802299999996,
1001826,Ambridge Farmers Market,St. Mary's Church Parking Lot,Ambridge,Beaver,Pennsylvania,15003,-80.225,40.5819,
1008321,Amelia Barter Town Farmers Market,Farmers Market At The Fairgrounds,Amelia Court House,Amelia,Virginia,23002,-77.9805478,37.3426037,Local government building grounds
1008399,Amelia Farmers Market,6800 First Coast Hwy,Amelia Island,Nassau,Florida,32034,-81.454531,30.579786,Other
1006373,Amenia Farmers Market,4988 Route 22,Amenia,Dutchess,New York,12501,-73.5549,41.8513,
1001367,American National Bank Downtown Farmers Market Festival,5th And Rood Avenue,Grand Junction,,Colorado,81501,-108.564,39.0682,
1005946,Amerisafe Downtown Pavilion And Farmers Market,120 North Washington Av,Deridder,,Louisiana,70634,-93.2862,30.8469,
1005188,Amery Farmers Market,Sooline Park,Amery,Polk,Wisconsin,54001,-92.3624,45.3072,Private business parking lot
1011171,Ames Main Street Farmers Market,300 & 400 Blocks Of Main Street,"Ames, Ia",Story,Iowa,50010,-93.61494300000001,42.025222,
1000284,Amherst Farmers Market,Spring Street Parking Lot,Amherst Center,Hampshire,Massachusetts,1002,-72.51942199999999,42.374858,
1006748,Amherst Wednesday Market At Kendrick Park,Kendrick Park Intersection Of North And East Pleasant St.,Amherst,Hampshire,Massachusetts,1004,-72.519778,42.379974,Local government building grounds
1009833,Amherst Winter Farmers Market,170 Chestnut Street,Amherst,Hampshire,Massachusetts,1002,-72.511105,42.384865999999995,
1001135,Amma Farmers Market,Amma Senior And Community Center,Amma,Roane,West Virginia,25252,-81.255883,38.583304999999996,Local government building grounds
1010105,Amqui Station Farmers Market,301 B Madison Street,Madison,Davidson,Tennessee,37115,-86.71695,36.258501,
1011670,Amsterdam Saturday Farmers/crafters Market,100 Church Street,Amsterdam,Montgomery,New York,12010,-74.18498290000001,42.939594,
1012157,Anaconda Community Market,Kennedy Commons (306 Main),Anaconda,Deer Lodge,Montana,59711,-112.954123,46.12798,
1005944,Anacortes Farmers Market,611 R Avenue,Anacortes,Skagit,Washington,98221,-122.609181,48.516974,
1001105,Anamoose Market In The Park,Main Street,Anamoose,Mchenry,North Dakota,58710,-100.24061,47.880722,Local government building grounds
1003055,Anamosa Farmers Market,Corner Of Scott And Main Streets,Anamosa,Jones,Iowa,52205,-91.2795,42.1083,
1007258,Anchorage Farmers Market,1420 Cordova Street,Anchorage,Anchorage,Alaska,99645,-149.880724,61.208059,"Faith-based institution (e.g., church, mosque, synagogue, temple)"
1002640,Anchorage Market And Festival,3rd Avenue And E Street,Anchorage,Anchorage,Alaska,99501,-149.891,61.2195,Private business parking lot
1010883,Anderson City Market,11th And Meridian,Anderson,Madison,Indiana,46016,-85.67921,40.104518,
1008251,Anderson County Farmers Market,402 N. Murray Ave.,Anderson,Anderson,South Carolina,29621,-82.652151,34.506797999999996,Local government building grounds
1008727,Anderson County Farmers Market,1505 Bypass Us 127 North,Lawrenceburg,Anderson,Kentucky,40342,-84.91805699999999,38.074839000000004,Private business parking lot
1000971,Anderson Farm Market,1240 Clifton Rd,Xenia,Greene,Ohio,45385,-83.8824,39.7668,
1004991,Anderson Farmers Market,7832 Five Mile Road,Cincinnati,Hamilton,Ohio,45230,-84.350563,39.078533,
1002089,Anderson Happy Valley Farmers Market,Happy Valley Rd.,Anderson,Shasta,California,96007,-122.40799999999999,40.4487,
1003516,Andersonville Farmers Market,1500 W. Berwyn Ave.,Chicago,Cook,Illinois,60640,-87.6687,41.978,
1007647,Andover Farmers Market,13655 Round Lake Blvd. Nw,Andover,Anoka,Minnesota,55304,-93.3573105,45.2192618,
1012040,Andover Farmers Market,97 Main Street,Andover,Essex,Massachusetts,1810,-71.139578,42.653441,
1000287,Andrews Farmers Market,First Street,Andrews,Cherokee,North Carolina,28901,-83.8232,35.2027,
1006378,Angelica Farmers Market,"Park Circle, Main Street",Angelica,Allegany,New York,14709,-78.015956,42.306061,
1010280,Angelina County Farmers Market,2107 S Medford Dr,Lufkin,Angelina,Texas,75901,-94.697749,31.321061,Local government building grounds
1006268,Angels Camp Farmers Market-fresh Fridays,"Utica Park, Utica Lane",Angels Camp,Calaveras,California,95222,-120.5427,38.072158,Other
1010223,Ann Arbor Farmers Market,315 Detroit Street,Ann Arbor,Washtenaw,Michigan,48104,-83.74665300000001,42.283836,Federal/State government building grounds
1010380,Anna House Farm Stand,2150 Hempstead Tpke,Elmont,Nassau,New York,11003,-73.716466,40.708292,
1001782,Anna/union County Farmers Market,1150 E Vienna St.,Anna,Union,Illinois,62906,-89.2093,37.4604,
1012588,Annandale Farmers Market,6621 Columbia Pike,Annandale,Fairfax,Virginia,22003,-77.1743282,38.8348371,
1006800,Annapolis Freshfarm Market,Compromise Street,Annapolis,Anne Arundel,Maryland,21401,-76.48621,38.97658,Other
1001142,Anne Arundel County Farmers Market (riva),Riva Road & Harry S Truman Pkwy,Annapolis,Anne Arundel,Maryland,21401,-76.5556,38.9763,
1004881,Anne Heyliger Vegetable Market,Queen Cross Street,Saint Croix,Frederiksted,Virgin Islands,840,-64.8799,17.7099,
1001465,Anoka County Growers Association/ Anoka Market,420 E. Main Street,Anoka,Anoka,Minnesota,55303,-93.384261,45.197726,
1007646,Anoka County Growers/ St. Timothy Church Blaine,707 89th Ave. Ne,Blaine,Anoka,Minnesota,55434,-93.2525239,45.13304,
1007636,Anoka County Growers/immaculate Conception Church,40th And Jackson Street,Columbia Heights,Anoka,Minnesota,55421,-93.2459,45.0489,
1000306,Anselma Farmers And Artisans Market,1730 Conestoga Road/rt 401,Chester Springs,Chester,Pennsylvania,19425,-75.641899,40.079648,Other
1000405,Anson County Farmers Market,1736 Hwy 52 South,Wadesboro,Anson,North Carolina,28170,-80.05256700000001,34.940829,Local government building grounds
1011248,Antelope Valley Winery Farmers Market,42041 20th St. West,Lancaster,Los Angeles,California,93534,-118.1662288,34.6470421,
1012651,Anthem Farmers Market,41703 N. Gavilan Peak Pkwy,Anthem,Maricopa,Arizona,85086,-112.13631299999999,33.862997,
