FMID,MarketName,Website,Website_1,Facebook,Facebook_1,Twitter,Twitter_1,Youtube,Youtube_1,OtherMedia,OtherMedia_1,Season1Date,Season1Date_Start,Season1Date_End,Season1Time,Season1Time 1,Season1Time 2,Season1Time 3,Season1Time 4,Season1Time 5,Season1Time 6,Season1Time 7,Season2Date,Season2Date 1,Season2Date 2,Season2Time,Season2Time 1,Season2Time 2,Season2Time 3,Season2Time 4,Season2Time 5,Season2Time 6,Season2Time 7,Season3Date 1,Season3Date 2,Season3Time,Season3Time 1,Season3Time 2,Season3Time 3,Season3Time 4,Season3Time 5,Season3Time 6,Season4Date,Season4Date 1,Season4Date 2,Season4Time,Season4Time 1,Season4Time 2
1012500,6th Street Market In Downtown Tempe,http://arizonacommunityfarmersmarkets.com,http://arizonacommunityfarmersmarkets.com,www.facebook.com/6thstmarket/,,,,,,www.instagram.com/6thstmarket/,www.instagram.com/6thstmarket/,10/02/2016 to 05/28/2017,2016-10-02,2017-05-28,Sun: 9:00 AM-1:00 PM;,Sun: 9:00 AM-1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000061,79th Street Greenmarket,http://www.grownyc.org,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,,,,01/01/2013 to 12/31/2013,2013-01-01,2013-12-31,Sun: 8:00 AM-5:00 PM;,Sun: 8:00 AM-5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000062,82nd Street Greenmarket,http://www.grownyc.org,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,,,,01/01/2013 to 12/31/2013,2013-01-01,2013-12-31,Sat: 9:00 AM-2:30 PM;,Sat: 9:00 AM-2:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008391,84 West Farmers Market (dothan),,,,,,,,,,,06/06/2013 to 08/08/2013,2013-06-06,2013-08-08,Thu: 3:00 PM-6:00 PM;,Thu: 3:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001961,8th Avenue City Farmers Market,,,,,,,,,,,May to October,2010-05-01,2010-10-31,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,Tue:4:00 PM - 6:00 PM,Sat:7:30 AM - 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000063,92nd Street Greenmarket,http://www.grownyc.org,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,,,,06/23/2013 to 11/24/2013,2013-06-23,2013-11-24,Sun: 9:00 AM-4:00 PM;,Sun: 9:00 AM-4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000064,97th Street Greenmarket,http://www.grownyc.org,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,,,,01/01/2013 to 12/31/2013,2013-01-01,2013-12-31,Fri: 8:00 AM-2:00 PM;,Fri: 8:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011989,9th And Grand Farmers Market,http://Farmtoforkks.com,http://Farmtoforkks.com,,,,,,,,,05/10/2016 to 09/27/2016,2016-05-10,2016-09-27,Tue: 4:00 PM-7:00 PM;,Tue: 4:00 PM-7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000986,9th West Farmers Market/peoples Market,http://www.9thwestfarmersmarket.org,http://www.9thwestfarmersmarket.org,https://www.facebook.com/9thwestfarmersmarket,https://www.facebook.com/9thwestfarmersmarket,https://twitter.com/peoplesmarket,https://twitter.com/peoplesmarket,,,,,05/12/2013 to 10/20/2013,2013-05-12,2013-10-20,Sun: 9:00 AM-2:00 PM;,Sun: 9:00 AM-2:00 PM,,,,,,,06/26/2016 to 08/01/2016,6/26/16, 08/01/2016,,,,,,,,,,,,,,,,,,,,,,,
1010617,A + Organic Farmers Market,http://organicgrowndirect.com/,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,https://www.facebook.com/OrganicProduceDelivery,https://twitter.com/OrganicGrownDr,https://twitter.com/OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/shop,http://organicgrowndirect.com/shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001683,A Better Choice Bakery And Market,,,https://www.facebook.com/nottinghamfarmersmarket,https://www.facebook.com/nottinghamfarmersmarket,,,,,,,January to December,2010-01-01,2010-12-31,Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;sun:12:00 PM - 5:00 PM;,Mon:12:00 PM - 5:00 PM,Tue:12:00 PM - 5:00 PM,Wed:12:00 PM - 5:00 PM,Thu:12:00 PM - 5:00 PM,Fri:12:00 PM - 5:00 PM,Sat:10:00 AM - 5:00 PM,sun:12:00 PM - 5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
1009004,A Growers Market,,,,,,,,,,,01/01/2014 to 12/31/2014,2014-01-01,2014-12-31,Wed: 3:00 PM-6:30 PM;,Wed: 3:00 PM-6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001887,Aaffa Community Farmers Market,,,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,,,,,,,05/06/2014 to 09/23/2014,2014-05-06,2014-09-23,Tue: 5:00 PM-8:00 PM;,Tue: 5:00 PM-8:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007585,Aamc Farmerss Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004573,Abbeville Farmers Market,,,,,,,,,,,06/06/2013 to 10/04/2013,2013-06-06,2013-10-04,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,Thu: 4:00 PM-8:00 PM,Fri: 7:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009028,Abbeville Farmers Market,,,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,,,,,,,06/06/2014 to 07/25/2014,2014-06-06,2014-07-25,Fri: 3:00 PM-6:00 PM;,Fri: 3:00 PM-6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004598,Abbotsford Farmers Market,,,,,,,,,,,May to October,2010-05-01,2010-10-31,Tue:1:30 PM - 5:30 PM;,Tue:1:30 PM - 5:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003865,Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,http://www.iatp.org/minimarkets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002947,Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,http://www.dakotaflavor.com/category.asp?catid=12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004031,Abilene Farmers Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010487,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,http://www.abingdonfarmersmarket.com,https://www.facebook.com/abingdonfarmersmarket,https://www.facebook.com/abingdonfarmersmarket,,,,,,,04/16/2016 to 11/22/2016,2016-04-16,2016-11-22,Tue: 3pm-6pm;Sat: 8am-1pm;,Tue: 3pm-6pm,Sat: 8am-1pm,,,,,,11/26/2016 to 12/24/2016,11/26/16, 12/24/2016,Sat: 10:00 AM-12:00 PM;,Sat: 10:00 AM-12:00 PM,,,,,,,1/2/16, 04/09/2016,Sat: 10:00 AM-12:00 PM;,Sat: 10:00 AM-12:00 PM,,,,,,,,,,,
1000065,Abingdon Square Greenmarket,http://www.grownyc.org,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,,,,01/01/2013 to 12/31/2013,2013-01-01,2013-12-31,Sat: 8:00 AM-2:00 PM;,Sat: 8:00 AM-2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006988,Abington,http://www.abingtonsage.com,http://www.abingtonsage.com,,,,,,,,,07/13/2013 to 09/21/2013,2013-07-13,2013-09-21,Sat: 9:00 AM-12:00 PM;,Sat: 9:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007070,Abington Farmers Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011313,Abita Springs Farmers Market,,,https://www.facebook.com/pages/Abita-Springs-Farmers-Market/480144062040727,https://www.facebook.com/pages/Abita-Springs-Farmers-Market/480144062040727,,,,,,,01/01/2016 to 12/01/2016,2016-01-01,2016-12-01,Sun: 12:00 AM-4:00 PM;,Sun: 12:00 AM-4:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004762,Abq Uptown Growers Market,http://www.abquptowngrowersmarket.org,http://www.abquptowngrowersmarket.org,,,,,,,,,10/25/2014 to,2014-10-25,,Sat: 7:00 AM-12:00 PM;,Sat: 7:00 AM-12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009543,Abv Farm Market,http://www.appleblossomvillage.com/,http://www.appleblossomvillage.com/,https://www.facebook.com/pages/Apple-Blossom-Village/105223639518965,https://www.facebook.com/pages/Apple-Blossom-Village/105223639518965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
